1.1.1,Respondent information
1.8.1,"Please briefly describe your lobbying activities and achievements in the last 12 months, both locally and globally, in making improvements to local and world-wide settlement and custody."
1.8.2,Please indicate your membership and participation in industry bodies and initiatives.
1.8.3,"Please complete the following table indicating the domestic and foreign clients you currently serve, plus current client assets under custody in each case."
1.8.4,How many clients have you gained and lost in the last 12 months?
1.8.5,Complete the following tables for total assets under custody as at year end in your local market in millions (use local currency).
1.8.6,Please provide an estimate of the market share of custody business that your organisation has based on assets under custody and settlement volumes.
1.8.7,"Please complete the following table, showing the total number of custody employees located domestically plus a breakdown by key activities."
1.8.8,"Has your organisation been named in a lawsuit in the last 12 months relating to your securities services or client money businesses? If yes, explain the circumstances of each lawsuit and the outcome(s) to the extent legally permissible."
1.8.9,"Please confirm that you and, if applicable, any sub-contracted entity supporting your securities services  or client money services provides ongoing training to all relevant staff to ensure that knowledge is maintained at the requisite levels for the performance of their respective duties."
2.1.1,"Please confirm that you have processes in place to manage, capture and communicate regulatory rule changes within your organisation and, where applicable, to clients."
2.1.2,"Are you subject to local regulatory disclosure reporting requirements? If yes, please provide details."
2.1.3,Do you obtain an external Legal Opinion?
2.1.4,"In the last 12 months have there been any changes that affect either legal requirements or market practices related to the holding of client assets? If yes, please provide details."
2.1.5,"In the last 12 months have there been any changes to local law in your jurisdiction which require us to grant you a security interest, lien or right of set-off over our clients’ assets to recover debts that are not related to our clients? If yes, please provide details."
2.1.6,"Concerning laws which a) affect the assurance that your organisation’s clients have rights to have securities and cash held by you returned in the event of your insolvency, and b) that would protect your clients from having their assets taken by an insolvency authority to satisfy claims against you by any other person including creditors, please confirm the following:"
2.1.6.1,"Would your clients be protected from having their assets taken by an insolvency authority to satisfy claims against you by any other person including creditors.  If yes, please provide details."
2.1.7,"In the last 12 months have there been any planned changes to the current legal framework regarding the required account structure (e.g. omnibus or segregated accounts)? If yes, please specify in detail and provide copies of respective information if available."
2.1.8,"Are there any planned changes to the current legal framework? If yes, please provide details."
2.1.9,"Please specify or confirm under which names it is legally possible to record or register legal title to securities in your jurisdiction. (Please answer ""confirmed"" next to each possible name listed below) (Please note that ""legal title holder"" in this case is the person that the issuer of the securities would recognise as having direct ownership of the securities)."
2.1.9.1,Please confirm that you verify your client’s assets are registered or that legal title to them is recorded in this manner.
2.1.9.2,"Please confirm that you register assets to reflect the legal requirements in your jurisdiction? If no, please provide details."
2.1.9.3,"Please confirm that you register assets to reflect the market practice in your jurisdiction? If no, please detail how they are registered at the CSD."
2.1.9.4,"Please confirm that all assets held by you on behalf of your clients are recorded or held by you on your books and records in accordance with local law, rules, regulations and market practice.  If no, please detail."
2.1.9.5,"Is the level of account segregation and record-keeping applicable and implemented by you sufficient to ensure that such assets are protected from your insolvency under the law of your jurisdiction? If no, please describe what additional arrangements you have implemented to minimise the risk of loss and ensure that such assets held for your clients are protected on your insolvency."
2.1.10,Please provide evidence and/or confirmation from your legal counsel confirming the different names in which it is possible to register or record legal title to client securities under the laws of your jurisdiction and in accordance with market practice.
2.1.11,"In the last 12 months, have there been any errors which have resulted in securities (proprietary or client assets) not being adequately safeguarded. If yes, please describe."
2.1.12,Within which entity or entities is legal ownership recorded?
2.1.13,"In your market, is the nominee concept fully recognised and accepted?"
2.1.14,"If the answer to the above is yes, does the definition of a nominee company under your local market laws/regulations comply with the following definition; ‘a body corporate whose business consists solely of acting as a nominee holder of investments or other property’?"
2.1.16,Is there a difference between a legal owner and a beneficial owner of securities according to local rules and regulations?
2.1.17,"In the last 12 months have there been any changes to the registration practices for client securities in your jurisdiction? If yes, please provide details."
2.1.18,"Are there any legal requirements or market practices related to the holding of our assets or our clients’ assets that could adversely affect our rights or our clients’ rights? If yes, please provide details."
2.1.19,"Can securities that you hold in an omnibus account, or an omnibus account itself, be restricted for any reason other than a valid court order?"
2.1.20,In the last 12 months have there been any changes to the protection or compensation available to our organisation if you are unable to meet your obligations?
2.1.21,In the last 12months have there been any changes to the action we need to take to recover our assets/monies in the event of your bankruptcy.
2.2.1,Are you able to identify assets / securities held in your omnibus accounts as client assets?
2.2.2,"Acting as custodian, do you provide segregation"
2.2.3,Are assets settled directly into a segregated client account or are they settled into a commingled firm / client account and subsequently segregated?
2.2.4,"At the request of your client, do you segregate the following on your books and records? If yes, please describe how."
2.3.1,How are assets held in your market?
2.3.2,"In the last 12 months have there been any changes that affect the securities account structure and/or account naming conventions at either the level of the CSD or local custodian? If yes, please provide details."
2.3.3,"If you maintain client assets in one or more accounts with the CSD, please confirm that the account names reflect that"
2.3.4,"If the account naming as requested above is not possible within your legal jurisdiction, please provide the reasons."
2.3.5,Please confirm whether securities for resident clients are separated from non-resident clients at the CSD?
2.3.6,"Where functions are performed by a CSD(s) away from the entity providing custody services to us, who do we have recourse to in the event of any errors by the CSD?"
2.3.7,"Please confirm that under no circumstances would the CSD have any right of lien, retention or sale over client assets that you hold in safe custody."
2.3.8,"Please confirm that you would notify us of any changes in respect of the CSD and its right of lien, retention or sale over our assets that you hold in safe custody?"
2.3.9,"In the last 12 months have there been any changes to your relationship with any delegate or sub-custodian that would change their rights to offset balances or which affect their lien over our cash and securities accounts? If yes, please provide details."
2.3.10,In the past 12 months have you performed a risk assessment of the CSDs in your market?
2.4.1,Please confirm that neither you nor your affiliates will transfer securities in the absence of an instruction from us.
2.4.2,Please confirm that you would notify us prior to making any changes that were not initiated by our instruction to the numbers or titles of our accounts in your books or at the CSD.
2.4.3,Please confirm your organisation has adequate procedures and controls to prevent brokers/third parties accessing clients’ CSD holdings directly?
2.4.4,"Where assets are being held in any of your nominee companies, please provide evidence that these and any new nominee companies are owned and controlled by you. Suitable evidence is in the form of extracts from financial statements, directors’ reports or other forms of official company documentation."
2.4.5,"Have there been any changes to your measures to minimise the risk of loss or diminution of financial instruments or of rights in connection with those financial instruments as a result of abuse of the financial instruments, fraud, inadequate administration, improper record keeping or negligence?"
2.4.6,Please advise at what point you would contact us to advise of any loss of securities.
2.4.7,Please confirm the frequency and automation of reconciliation of securities and cash balances to the following entities.
2.4.8,"Re 2.4.7 above, where manual intervention is required, please describe the entity and process below."
2.4.9,"In the last 12 months have there been any changes to the reconciliation processes ? If yes, please provide details."
2.4.10,"In the last 12 months have there been any changes to your procedures used when a discrepancy is identified? If yes, please describe."
2.4.11,"Do you have a tracking process for aged discrepancies (e.g. standardised thresholds, Key Performance Indicators (KPIs))?"
2.4.12,"In the last 12 months, have there been any changes to the way your system records if securities are held in custody but are unavailable for delivery due to being out for transfer or splitting, or being used for collateral or lending or stopped for any other reasons? If yes, please provide details"
2.4.13,"In the last 12 months has there been a significant or material change in the number of unreconciled items regarding the following. If yes, please detail in the comments section. Please note: material equals +/-10%."
2.4.14,"In the last 12 months have there been any changes or enhancements regarding the process for reconciliation of breaks or outstanding items? If yes, please provide details."
2.5.2,"Please state the location of the vault (e.g. is it in the same building as your securities services operations, which floor is it located on)?"
2.5.3,Do you have procedures and controls for the physical transportation of securities?
2.5.4,"Were there any exceptions for the vault safeguards noted in your last audit? If yes, please outline the exceptions and steps taken to rectify."
2.5.5,"In the last 12 months have you experienced any breaches in these safeguards? If yes, how have they been addressed / resolved?"
2.5.6,"Do you outsource the safekeeping of physical assets? If yes, please provide further details."
2.5.7,Please outline your vault procedures and controls and when these were last reviewed by your internal auditors.
2.5.8,Please confirm that there are dual controls in place for all physical security management (e.g. delivery of physical securities).
2.5.9,Please confirm that there is a segregation of duties between the maintenance of physical custody records and their reconciliation.
2.5.10,Please outline how client assets are segregated within the vault from the organisation's own and other clients' assets.
2.5.11,Please advise in which entity's name the physical securities (not immobilised at the CSD) are registered.
2.5.12,Please outline how you record bearer instruments in your books and records so that you know who the beneficial owner is.
2.5.13,Please outline how you monitor vault capacity levels and advise what capacity the vault is operating to.
2.5.14,Please outline your Business Continuity Plan (BCP) should the operation of your vault become impaired.
2.5.15,How frequently are physical securities held on our behalf counted and reconciled to your records?
2.5.16,"How are exceptions investigated, reported and corrected in a timely and controlled manner?"
2.5.17,Please confirm that you reconcile registered physical securities in your custody with the relevant registrar at least once every six months.
2.5.18,"Do local rules and regulations stipulate how frequently you are required to perform vault reconciliations? If yes, please advise how often."
2.5.19,"Do local rules and regulations stipulate how frequently you are required to perform reconciliations against registrar records? If yes, please advise how often."
2.6.1,Please confirm which of these applies to the security on your premises.
2.6.2,Please confirm that alarm systems are used on your premises to detect the following
2.6.3,"Are all staff/visitors/vendors properly identified, required to sign in, and wear badges?"
2.6.4,Are all visitors/vendors supervised whilst on the premises?
2.6.5,Is data centre access limited to employees with appropriate job responsibilities?
3.1.1,Do you maintain written operational controls and procedures for all custody operations and banking functions?
3.1.2,"How frequently are the operational controls and procedures reviewed/updated and by whom? In the last 12 months have there been material changes? If so, please provide details."
3.1.3,"In the last 12months has your local regulator raised any concerns in relation to your operational controls and procedures? If yes, please provide details."
3.1.4,"Are unique user names and passwords used for internal and external systems? If yes, please state the frequency of change of passwords."
3.1.5,"In the last 12 months have there been any changes to the end to end process and interconnectivity between your business units? If yes, please provide details."
3.2.1,"Do you have an independent risk management function in your organisation? If yes, please provide an organisation chart showing (or explain) where risk management resides within your organisation including reporting lines, roles and responsibility for the management of risk, oversight breaches and remediation in relation to securities services or client money."
3.2.2,Please confirm the following regarding the key component processes included in your risk management framework:
3.3.1,Who are your external auditors responsible for operational audit?
3.3.2,"Please confirm if you have within your internal audit function staff dedicated to your securities services and/or client money operations.  If yes, please provide details"
3.3.3,Please provide (as an attachment) a diagram showing where your Internal Audit function resides and who it reports to.
3.3.4,"Do any supervisory regulations apply to the design of your internal audit function? If yes, please provide details."
3.3.5,"Do your regulators review your internal procedures? If yes, how frequently?"
3.3.6,"How frequently are your securities services and/or client money operations audited by your internal and external auditors, market regulators and Central Bank? In the last 12 months has this frequency changed? If yes, please provide details. Please provide the date of the last internal, external and regulatory audits. Please attach a copy of the last audit report from your internal and external auditors, regulator and Central Bank."
3.3.7,"Do you prepare assurance reports to prove internal control operations and procedures are efficient, effective, robust and satisfy their control objectives (e.g. in line with technical release AAF/0106 of the Institute of Chartered Accountants in England and Wales or equivalent)? If yes, please provide a copy of the report."
3.3.8,Please highlight any concerns raised in any of the above audits together with actions to remediate these points.
3.3.9,Briefly describe the follow-up procedures that exist to ensure internal/ external audit or regulatory audit recommendations are implemented.
3.3.10,"Are there any open items from the last recommendations? If yes, please provide details."
3.3.11,Are all key operating procedures and escalation procedures clearly documented and accessible to all staff?
3.3.12,"Please confirm that your external auditors verify that assets held by you are in your custody and control.  If no, please comment."
3.3.13,"In the past 12 months, please confirm that such external audits have taken place in respect of assets recorded in your books and are reconciled with the Central Securities Depository / Registrar or any other sub-custodian?’"
3.4.1,Please confirm that you have disaster recovery plans (DRP).
3.4.2,"In the last 12 months have there been any material changes to these plans? If yes, please provide details."
3.4.3,Are these plans reviewed by your regulator?
3.4.4,Who within your organisation has oversight over your DRP?
3.4.5,Who has authority to activate your DRP?
3.4.6,How often is your DRP tested? What was the date of the last test?
3.4.7,"Was the last DRP test successful? If not, please describe items that require remediation and confirm that a remediation plan is in place."
3.4.8,Is your DRP testing live or simulated?
3.4.9,Does the DRP testing include financial market infrastructures?
3.4.10,Does the DRP testing include other third parties?
3.4.11,Please confirm that testing replicates a full business day.
3.4.12,"Are the results of the DRP test audited by internal or external auditors? If so, please provide a copy of the reports."
3.4.13,How do you monitor gaps from these findings and ensure action is taken to remediate these issues?
3.4.14,How and when would clients be advised in the event of a disaster?
3.4.15,"In a disaster event, how soon do you commit to reconstituting your system/parallel system?"
3.4.16,"In a disaster event, how soon are you able to revert to normal business operations?"
3.4.17,"Are there any limitations to your system capabilities whilst in DR mode? If yes, please provide details."
3.4.18,Do you back up your data in real time?
3.4.19,"In the last 12 months have you invoked your DRP? If yes, please provide details."
3.4.20,Did the results comply with your plan?
3.4.21,How far apart are your primary and secondary processing hardware located?
3.4.21.1,Are your primary and secondary processing hardware located in the same power grid?
3.4.21.2,"If your primary and secondary processing hardware are located in the same power grid, how do you mitigate this risk?"
3.4.22,Do you operate a “hot” disaster recovery site?
3.4.23,Are backup systems available at the primary data centre?
3.4.24,"If the primary lines of communication between your primary data centre and the back-up site fail, what contingency measures are in place?"
3.5.1,"Does your organisation have a documented cybersecurity policy in place? If so, please provide a copy or overview."
3.5.1.1,Please confirm that your staff receive relevant training about this policy.
3.5.2,Please provide an overview of your policy for continuity of business in the event of a large data breach or cyber attack against your organisation.
3.5.3,"In the last 12 months have there been any changes to the policy? If yes, please detail."
3.5.4,Please advise how often you review the policy.
3.5.5,Please provide (as an attachment) a diagram showing where your cybersecurity function resides and who it reports to.
3.5.6,How does your organisation identify which business functions carry a cyber risk?
3.5.7,"Do you conduct ongoing testing and monitoring processes to ensure that all internal and external connectivity and system configurations are not at risk of cybersecurity breaches?  If yes, please provide details and indicate frequency."
3.5.8,What technological controls and protections are in place for your systems and networks?
3.5.8.1,Does your organisation use multi-factor authentication?
3.5.8.2,"Where your organisation has outsourced activities or functions to a third-party provider, is your cyber risk exposure documented?"
3.5.9,What measures does your organisation have to ensure early detection of a cyber attack?
3.5.10,What is the agreed resumption time for critical operations following a cyber attack?
3.5.11,How would you advise clients of a successful cyber attack against your organisation?
3.5.12,"In the last 12 months has your organisation been subject to a cyber attack that impacted the service you provide to us?  If yes, please provide details."
3.5.13,Are the following elements of your cybersecurity framework tested pre and post deployment of changes?
3.5.14,"For cloud technology and associated cybersecurity risks, please confirm:
(i) that you have procedures and controls in place to protect our information from mishandling and  theft;"
3.5.15,Does your organisation conduct dark web searches for signs of a breach (internet protocol or customer/client personally identified information for sale)?
3.5.16,Is your organisation aware of SWIFT’s Customer Security Program (CSP)?
3.5.17,Does your organisation ensure compliance with SWIFT’s CSP controls?
3.5.18,Does your organisation respond to requests for your institution’s attestations?
3.5.19,Does your organisation request the attestation details of your counterparties and incorporate the responses into ongoing relationship and risk management programs?
3.6.1,"Please confirm that you have BCP, including alternate offices, power, communications and all necessary facilities."
3.6.2,"In the last 12 months have there been any material changes to the BCP? If yes, please provide details."
3.6.3,Is the organisation compliant with all current regulatory requirements for BCP in each of the countries where you provide securities services and/or client money services?
3.6.4,In the last 12 months have there been any new BCP regulatory requirements issued?
3.6.5,Who within your organisation has oversight and control over BCP?
3.6.6,Who has authority to activate your BCP?
3.6.7,How often is your BCP tested? What was the date of the last test?
3.6.8,Is testing completed during business hours?
3.6.9,"Was your last BCP test successful? If no, please describe items that required remediation and confirm that a remediation plan is in place."
3.6.10,Is your BCP testing conducted in a live or simulated environment?
3.6.11,Does your BCP testing include Financial Market Infrastructures?
3.6.12,Does your BCP testing include any other third parties?
3.6.13,"Are the results of your BCP test audited by internal or external auditors? If yes, please provide a copy of the report."
3.6.14,How do you monitor gaps from these findings and ensure action is taken to remediate these issues?
3.6.15,How and when would clients be advised in the event of the BCP being activated in a live environment?
3.6.16,"Following a BCP event, how soon are you able to revert to business as usual (BAU)?"
3.6.17,"Are there any limitations to your business capabilities whilst in BCP mode? If yes, please provide details."
3.6.18,"In the last 12 months have you invoked your BCP? If yes, please provide details."
3.6.19,"If invoked, did the results comply with your plan?"
3.6.20,Are you willing to allow us to review the findings of your last full business continuity test?
3.6.21,"Specifically for securities services and/or client money, state the distance of the contingency site(s) from your primary location."
3.6.21.1,Are your primary and secondary processing hardware located in the same power grid?
3.6.21.2,"If your primary and secondary processing hardware are located in the same power grid, how do you mitigate this risk?"
3.6.22,Is the business contingency site a hot site?
3.6.23,"Is the business contingency site shared? If yes, please provide details."
3.6.24,Please specify the percentage of staff defined as critical to your business continuity arrangements.
3.6.26,"Please confirm that your contingency site has all the necessary communications, linkages, infrastructure interfaces, work stations, hardware and systems applications to resume business operations."
3.6.27,Please state how long you can continue to operate from the BCP site.
3.6.28,Is it possible for employees to access systems remotely (e.g. from home or other branches/offices)?
3.6.29,What is the contingency should your primary method of communications with your clients fail (e.g. SWIFT)?
3.6.30,"Please confirm if an alternative means of communication is in place with the following. If yes, please state the alternative method (e.g. email, fax)"
3.6.31,What percentage of staff are able to work from home?
3.6.32,Are there any restrictions or exceptions to working from home within your organisation?
3.6.33,"Does your organisation have a dedicated pandemic plan? If no, please explain why?"
3.6.34,Do you have a pandemic plan covering mass absenteeism?
3.6.35,"As part of your pandemic plan, do you have processes to address the following?"
3.6.36,In the past 12 months has your pandemic plan been tested?
3.6.37,"If yes, were there any areas of material concern noted as part of your pandemic plan testing?"
3.6.38,"During a pandemic, please confirm that your organisation can accept digital/electronic signing/scanning of legally binding and related documents?"
3.6.39,"During a pandemic, please advise if there are any known restrictions within the local market in accepting digital/electronic signing/scanning of legally binding and related documents?"
3.6.42,"Where you have offshored/centralised, outsourced, delegated (to a sub custodian) or are dependent upon a third-party provider, please confirm that adequate plans are in place to minimise any impact from a pandemic."
3.6.43,Please confirm that steps have been taken to address any potential impacts with market infrastructures or your regulator resulting from a pandemic?
3.7.1,"Please confirm that your group has a policy covering (a) anti-money laundering (AML), (b) counter terrorist financing (CTF), (c) anti-bribery and corruption (ABC), (d) know your client (KYC) (e) politically exposed persons (PEP) and (f) sanctions. Please specify how frequently you and your regulator review these policies and the name of the regulator undertaking the review."
3.7.2,Please confirm that the policies in the above question have been implemented in your jurisdiction and that you have a process in place to monitor and action changes in applicable laws and regulation?
3.7.3,"Do you have a whistle-blower policy in place? If yes, please provide details of this policy."
3.7.4,"Do you have a conflicts of interest policy in place? If yes, please provide a copy of this policy."
3.7.5,"Do you have a dedicated AML compliance team at both group and local level who is responsible for the implementation, monitoring, escalation, reporting and management of all policies related to combating financial crime?"
3.7.6,Describe your process for monitoring changes to any regulation or legislation that may affect your financial crime policies.
3.7.7,"In the last 12 months have there been any material changes to your policies to combat financial crime? If yes, please provide details."
3.7.8,"How does your organisation identify, report (e.g. including to whom) and monitor suspicious securities and cash transactions?"
3.7.9,"Do you have a systematic and technological capability to ensure that any suspicious securities and cash transactions are identified, monitored and reported? If not, please describe how you ensure that suspicious transactions are adequately monitored and managed and how your system and/or process is kept up-to-date?"
3.7.10,"In the last 12 months have there been any breaches of your AML, CTF, ABC, KYC, PEP or sanctions policies reported to your regulator? If yes, please elaborate and state what remedial actions were taken."
3.7.11,"In the last 5 years, has a regulator or other independent body applied any publicly disclosed warnings, sanctions, fines or penalties on your bank/group related to your AML, CTF, ABC, KYC, PEP or sanctions procedures? If yes, briefly describe the circumstances and include details of the amount of any fines or sanctions and regulatory body concerned."
3.7.12,"In the last 12 months have there been any regulatory investigations into bribery against your organisation, its parent, its employees or affiliates?"
3.7.13,"Please confirm that your staff servicing our activities receive regular training on AML, CTF, ABC, KYC, PEP and sanctions issues. Please describe the frequency and scope of the training provided. Please advise if it is mandatory and if attendance is monitored."
3.7.14,"Is your organisation a member of the Wolfsberg Group and has your organisation completed the Wolfsberg Group Questionnaire on AML? If yes, please provide a copy as an attachment."
3.7.15,How frequently do you perform your AML/KYC screening checks on your clients?
3.7.16,Please describe the process that your organisation employs for completing AML/KYC checks.
3.7.17,"Does your organisation adhere to a record retention period imposed by legislation? If yes, please provide us with the record retention period. If no, please provide us with the record retention period applied by your organisation."
3.7.18,Have you adopted a risk-based approach for the assessment of KYC and AML checks or do you treat all client relationships in the same way? Please outline your approach to each.
3.7.19,Please outline your methodology when reviewing and assessing PEPs.
3.7.20,"Please confirm that your organisation has procedures to ensure that no accounts are set up, nor any type of transaction (cash, securities or otherwise) is made to the following."
3.7.21,"Do you have an automated systematic technological capability to ensure the above policies are implemented? If no, please describe how this is achieved and how the system is kept up-to-date."
3.7.22,"Does your institution perform sanction screening against the OFAC, UN and EU sanctions lists at the time of onboarding and for each transaction?"
3.7.23,Please provide a copy of your US Patriot Act compliance certificate.
3.7.24,Please give a detailed overview of your compliance monitoring procedures including your sanctions monitoring process.
3.7.25,"Which department in your organisation is responsible for implementing, monitoring, escalating, reporting, and managing sanctions?"
3.7.26,"Does your institution have policies and procedures to ensure that reasonable measures are taken to ensure that your institution does not knowingly transact business with sanctioned individuals, entities and countries?"
3.7.26.1,Please provide a list of countries for which your institution has sanctions related controls and procedures.
3.7.27,Does your organisation operate a formal code of conduct for procurement?
3.8.1,"In the last 12 months have there been any changes to data protection and privacy legislation in your jurisdiction or in the jurisdiction of your group? If yes, please provide details"
3.8.2,Are you required to report data breaches to your regulators?
3.8.3,"In the last 12 months have you reported any data breaches to your regulators? If yes, please provide details."
3.8.4,"Where you may be in possession of personal data, belonging to our employees or clients, please confirm that you have policies and procedures in place to ensure compliance with applicable data protection legislation including data processing and storage?"
3.8.5,Are you based in the European Economic Area?
3.8.6,Please confirm that personal data is not used to sell additional products beyond our relationship.
3.8.7,"Do you have a data breach policy in place? If yes, please briefly describe such policies and explain how and when you would notify us of a data breach."
3.8.8,"In the last 12 months have there been any changes in your formal data protection policy? If yes, please attach a copy of the revised policy."
3.8.9,In the last 12 months have there been any changes in the formal data protection policy in relation to sharing of data with other business units and /or third parties/affiliates?
3.8.10,"Are there any exemptions from your data protection policy? If yes, please provide details."
3.9.1,"Do you have a statement on modern slavery in your business and supply? If yes, please provide a copy or a link to where this can be found on your website"
3.9.2,"If not covered in a separate statement, please provide details of."
3.9.3,"Do you support and respect globally recognised principles and standards (such as principles of UN Global Compact, ILO standards) promoting humane and safe work environments and respecting employee rights?"
3.9.4,"Please confirm that your organisation has a people screening process for new joiners, including at a minimum: verification of their identity and age, physical address, legal right to work and employment history, and checks on criminal history, credit history and bankruptcy, and against relevant government and sanctions lists."
3.9.5,"Please confirm that you have a firm commitment to enable equality of opportunity in employment, skill development and career enhancement, ensure workplace cultures that promote diversity and inclusion, and enforce adequate procedures and policies to ensure the workplace is free from discrimination, harassment, victimisation or any other form of inappropriate behaviour or abuse on any grounds."
3.9.6,"Does your organisation’s procurement policy include corporate social responsibility requirements?  If yes, please provide a brief overview."
3.9.7,"Has your organisation adopted corporate social responsibility policies including considering the use of diverse suppliers? Please provide the latest available corporate social responsibility report or any other document assessing your organisation’s corporate achievements in environmental, social and governance areas."
4.1.1,Please outline any enhancements to your operational reporting capability planned for the next 12 months.
